Row ID,Order ID,Order Date,Ship Date,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,IND-AMPQ17UY,29-11-2024,02-12-2024,CUST-IN-259011,Rahul Gupta,Consumer,India,Bengaluru,Karnataka,560001,South,OFF-QW-68604201,Furniture,Bookcases,Office Chair,261.96,2,0,41.9136
2,IND-CXWLSUWB,26-08-2025,27-08-2025,CUST-IN-801697,Priya Sharma,Consumer,India,Ahmedabad,Gujarat,380001,West,TEC-RR-58307123,Furniture,Chairs,Office Chair,731.94,3,0,219.582
3,IND-QEJCANTO,16-12-2025,20-12-2025,CUST-IN-987851,Neha Nair,Corporate,India,Lucknow,Uttar Pradesh,226001,North,OFF-BE-27532826,Electronics,Labels,Monitor,14.62,2,0,6.8714
4,IND-AXXYKY61,11-08-2025,12-08-2025,CUST-IN-922617,Neha Khan,Consumer,India,Ahmedabad,Gujarat,380001,West,OFF-VY-08943584,Furniture,Tables,Bookshelf,957.5775,5,0.45,-383.031
5,IND-8740OLLH,19-10-2025,22-10-2025,CUST-IN-886524,Sneha Singh,Consumer,India,Ahmedabad,Gujarat,380001,West,OFF-JO-66533446,Stationery,Storage,Marker Pack,22.368,2,0.2,2.5164
6,IND-FGWUIZYH,26-03-2023,31-03-2023,CUST-IN-228998,Kavya Patel,Consumer,India,Chennai,Tamil Nadu,600001,South,TEC-PR-21387756,Furniture,Furnishings,Bookshelf,48.86,7,0,14.1694
7,IND-L6PXRDCV,29-09-2025,04-10-2025,CUST-IN-352880,Arjun Singh,Consumer,India,Bhubaneswar,Odisha,751001,East,TEC-NE-02375761,Electronics,Art,Wireless Mouse,7.28,4,0,1.9656
8,IND-AVWRRTO9,24-08-2025,29-08-2025,CUST-IN-441731,Anjali Mehta,Consumer,India,Jaipur,Rajasthan,302001,North,TEC-JQ-36230522,Stationery,Phones,Notebook,907.152,6,0.2,90.7152
9,IND-HCRJ9KE5,10-06-2024,14-06-2024,CUST-IN-850297,Kavya Patel,Consumer,India,Kolkata,West Bengal,700001,East,FUR-CV-67918800,Stationery,Binders,Marker Pack,18.504,3,0.2,5.7825
10,IND-EMX18WSW,12-08-2023,16-08-2023,CUST-IN-939935,Rahul Gupta,Consumer,India,Jaipur,Rajasthan,302001,North,FUR-DU-02051268,Electronics,Appliances,Wireless Mouse,114.9,5,0,34.47
11,IND-N2YKPW3Y,09-07-2023,11-07-2023,CUST-IN-040125,Anjali Nair,Consumer,India,Jaipur,Rajasthan,302001,North,OFF-XX-56602104,Stationery,Tables,Desk Organizer,1706.184,9,0.2,85.3092
12,IND-A6S8Y4M7,08-07-2025,11-07-2025,CUST-IN-599514,Rahul Patel,Consumer,India,Kolkata,West Bengal,700001,East,OFF-GU-05346967,Stationery,Phones,Desk Organizer,911.424,4,0.2,68.3568
13,IND-BNY25YWP,11-06-2024,14-06-2024,CUST-IN-771414,Neha Patel,Consumer,India,Delhi,Delhi,110001,North,TEC-OV-85490519,Furniture,Paper,Bookshelf,15.552,3,0.2,5.4432
14,IND-F27RSS34,11-01-2024,15-01-2024,CUST-IN-109510,Vikram Patel,Consumer,India,Bengaluru,Karnataka,560001,South,OFF-AU-99894313,Electronics,Binders,Monitor,407.976,3,0.2,132.5922
15,IND-60ANZFAV,13-02-2024,16-02-2024,CUST-IN-086069,Rohit Mehta,Home Office,India,Hyderabad,Telangana,500001,South,OFF-JX-16035924,Electronics,Appliances,Keyboard,68.81,5,0.8,-123.858
16,IND-QHGEWZ82,21-06-2025,23-06-2025,CUST-IN-274043,Sneha Reddy,Home Office,India,Chennai,Tamil Nadu,600001,South,TEC-FX-42814997,Furniture,Binders,Bookshelf,2.544,3,0.8,-3.816
17,IND-HOR9QB0U,10-06-2024,13-06-2024,CUST-IN-126501,Rahul Mehta,Consumer,India,Hyderabad,Telangana,500001,South,TEC-SS-18204502,Furniture,Storage,Bookshelf,665.88,6,0,13.3176
18,IND-P913CSZ6,20-08-2024,23-08-2024,CUST-IN-568310,Rahul Mehta,Consumer,India,Bhubaneswar,Odisha,751001,East,OFF-GS-04337157,Stationery,Storage,Pen Set,55.5,2,0,9.99
19,IND-JDV3Z1VD,10-07-2023,11-07-2023,CUST-IN-348835,Priya Das,Consumer,India,Lucknow,Uttar Pradesh,226001,North,OFF-VB-54256736,Stationery,Art,Desk Organizer,8.56,2,0,2.4824
20,IND-D19M5UWG,13-02-2024,15-02-2024,CUST-IN-667985,Sneha Gupta,Consumer,India,Kolkata,West Bengal,700001,East,FUR-NK-34485970,Electronics,Phones,Keyboard,213.48,3,0.2,16.011
21,IND-4LAJYZWM,25-06-2024,26-06-2024,CUST-IN-819677,Rahul Gupta,Consumer,India,Lucknow,Uttar Pradesh,226001,North,FUR-AY-12008052,Furniture,Binders,Office Chair,22.72,4,0.2,7.384
22,IND-LMX46F28,13-12-2024,16-12-2024,CUST-IN-047991,Priya Reddy,Corporate,India,Ahmedabad,Gujarat,380001,West,OFF-DZ-67550379,Furniture,Art,Sofa Set,19.46,7,0,5.0596
23,IND-ORQ8OYO1,06-12-2023,10-12-2023,CUST-IN-628670,Anjali Iyer,Corporate,India,Kochi,Kerala,682001,South,TEC-PB-64948674,Furniture,Appliances,Wooden Table,60.34,7,0,15.6884
24,IND-KZWGF3AE,02-05-2023,06-05-2023,CUST-IN-558222,Rahul Reddy,Consumer,India,Pune,Maharashtra,411001,West,TEC-FU-20356291,Furniture,Chairs,Sofa Set,71.372,2,0.3,-1.0196
25,IND-W8M9XQIW,20-11-2025,21-11-2025,CUST-IN-585818,Amit Sharma,Consumer,India,Kolkata,West Bengal,700001,East,OFF-DZ-63072824,Electronics,Tables,Laptop,1044.63,3,0,240.2649
26,IND-GYEACMAC,22-07-2023,23-07-2023,CUST-IN-551007,Kavya Sharma,Consumer,India,Bengaluru,Karnataka,560001,South,OFF-XI-95283305,Stationery,Binders,Marker Pack,11.648,2,0.2,4.2224
27,IND-5049C3FZ,28-06-2025,01-07-2025,CUST-IN-069105,Arjun Nair,Consumer,India,Chennai,Tamil Nadu,600001,South,FUR-DP-02647647,Furniture,Accessories,Bookshelf,90.57,3,0,11.7741
28,IND-SFKACJJU,28-10-2024,31-10-2024,CUST-IN-114824,Neha Reddy,Consumer,India,Bhubaneswar,Odisha,751001,East,OFF-ML-19846882,Furniture,Bookcases,Bookshelf,3083.43,7,0.5,-1665.0522
29,IND-54CFYB0I,26-05-2025,27-05-2025,CUST-IN-872044,Anjali Singh,Consumer,India,Bengaluru,Karnataka,560001,South,TEC-LO-75417988,Stationery,Binders,Notebook,9.618,2,0.7,-7.0532
30,IND-E05BCMYS,26-06-2024,28-06-2024,CUST-IN-855669,Priya Iyer,Consumer,India,Hyderabad,Telangana,500001,South,TEC-WN-52136746,Furniture,Furnishings,Sofa Set,124.2,3,0.2,15.525
31,IND-1YG6X2PO,13-07-2025,16-07-2025,CUST-IN-353389,Rohit Reddy,Consumer,India,Mumbai,Maharashtra,400001,West,OFF-QF-37834164,Furniture,Envelopes,Wooden Table,3.264,2,0.2,1.1016
32,IND-GSYIK4OI,09-09-2023,13-09-2023,CUST-IN-965430,Rahul Das,Consumer,India,Pune,Maharashtra,411001,West,OFF-TF-91456156,Furniture,Art,Sofa Set,86.304,6,0.2,9.7092
33,IND-UZSJUVX7,05-02-2023,09-02-2023,CUST-IN-331122,Neha Sharma,Consumer,India,Chennai,Tamil Nadu,600001,South,FUR-CJ-69112707,Stationery,Binders,Notebook,6.858,6,0.7,-5.715
34,IND-P9JXS29S,03-12-2023,06-12-2023,CUST-IN-741159,Anjali Das,Consumer,India,Ahmedabad,Gujarat,380001,West,OFF-KA-98245479,Stationery,Art,Notebook,15.76,2,0.2,3.546
35,IND-NSD865U1,25-03-2024,27-03-2024,CUST-IN-705219,Rahul Iyer,Home Office,India,Bhubaneswar,Odisha,751001,East,TEC-JQ-56490417,Furniture,Paper,Bookshelf,29.472,3,0.2,9.9468
36,IND-9SAM6NVU,30-12-2025,04-01-2026,CUST-IN-344719,Arjun Mehta,Corporate,India,Lucknow,Uttar Pradesh,226001,North,TEC-KH-25203474,Furniture,Phones,Office Chair,1097.544,7,0.2,123.4737
